Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-7,1.96,16,1006,Weak
gnn_ASCAD-10,1.96,17,80,Weak
gnn_ASCAD-5,1.96,17,>2000,Weak
gnn_ASCAD-2,1.96,18,1415,Weak
gnn_ASCAD-6,1.96,18,>2000,Weak
gnn_ASCAD-4,1.96,18,>2000,Weak
gnn_ASCAD-11,1.96,18,>2000,Weak
gnn_ASCAD-8,1.96,20,>2000,Weak
gnn_ASCAD-1,0.00,20,>2000,Weak
gnn_ASCAD-9,1.96,21,>2000,Weak
gnn_ASCAD-3,1.96,22,>2000,Weak
gnn_ASCAD-1,0.00,69,>2000,Weak
gnn_ASCAD-27,1.96,143,>2000,Weak
gnn_ASCAD-21,1.96,143,>2000,Weak
gnn_ASCAD-22,1.96,143,>2000,Weak
gnn_ASCAD-30,1.96,143,>2000,Weak
gnn_ASCAD-37,1.96,143,>2000,Weak
gnn_ASCAD-38,1.96,143,>2000,Weak
gnn_ASCAD-33,1.96,143,>2000,Weak
gnn_ASCAD-40,1.96,143,>2000,Weak
gnn_ASCAD-31,1.96,144,>2000,Weak
gnn_ASCAD-32,1.96,144,>2000,Weak
gnn_ASCAD-34,1.96,144,>2000,Weak
gnn_ASCAD-39,1.96,145,>2000,Weak
gnn_ASCAD-24,1.96,145,>2000,Weak
gnn_ASCAD-19,1.96,145,>2000,Weak
gnn_ASCAD-36,1.96,145,65,Weak
gnn_ASCAD-16,1.96,145,>2000,Weak
gnn_ASCAD-26,1.96,146,>2000,Weak
gnn_ASCAD-28,1.96,146,>2000,Weak
gnn_ASCAD-25,1.96,146,>2000,Weak
gnn_ASCAD-23,1.96,146,>2000,Weak
gnn_ASCAD-35,1.96,146,>2000,Weak
gnn_ASCAD-17,1.96,147,>2000,Weak
gnn_ASCAD-12,1.96,147,>2000,Weak
gnn_ASCAD-3,1.96,147,>2000,Weak
gnn_ASCAD-7,1.96,147,>2000,Weak
gnn_ASCAD-6,1.96,148,>2000,Weak
gnn_ASCAD-14,1.96,149,>2000,Weak
gnn_ASCAD-20,1.96,149,>2000,Weak
gnn_ASCAD-41,1.96,149,>2000,Weak
gnn_ASCAD-11,1.96,149,>2000,Weak
gnn_ASCAD-8,1.96,149,>2000,Weak
gnn_ASCAD-5,1.96,150,>2000,Weak
gnn_ASCAD-10,1.96,150,>2000,Weak
gnn_ASCAD-2,1.96,150,>2000,Weak
gnn_ASCAD-18,1.96,150,>2000,Weak
gnn_ASCAD-13,1.96,150,>2000,Weak
gnn_ASCAD-4,1.96,151,>2000,Weak
gnn_ASCAD-29,1.96,151,>2000,Weak
gnn_ASCAD-9,1.96,151,>2000,Weak
gnn_ASCAD-15,1.96,154,>2000,Weak
