Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-26,2.73,173,394,Weak
gnn_ASCAD-25,2.73,173,>2000,Weak
gnn_ASCAD-24,2.73,175,>2000,Weak
gnn_ASCAD-21,2.73,176,>2000,Weak
gnn_ASCAD-22,2.73,176,>2000,Weak
gnn_ASCAD-20,2.73,177,>2000,Weak
gnn_ASCAD-23,2.73,177,>2000,Weak
gnn_ASCAD-19,2.73,183,>2000,Weak
gnn_ASCAD-4,2.73,184,>2000,Weak
gnn_ASCAD-18,2.73,187,>2000,Weak
gnn_ASCAD-6,2.73,187,>2000,Weak
gnn_ASCAD-17,2.73,188,>2000,Weak
gnn_ASCAD-15,2.73,189,>2000,Weak
gnn_ASCAD-13,2.73,192,>2000,Weak
gnn_ASCAD-14,2.73,192,14,Weak
gnn_ASCAD-10,2.73,194,>2000,Weak
gnn_ASCAD-9,2.73,195,>2000,Weak
gnn_ASCAD-8,2.73,196,>2000,Weak
gnn_ASCAD-7,2.73,196,>2000,Weak
gnn_ASCAD-3,2.73,196,>2000,Weak
gnn_ASCAD-16,2.73,196,>2000,Weak
gnn_ASCAD-12,2.73,197,>2000,Weak
gnn_ASCAD-2,2.73,199,>2000,Weak
gnn_ASCAD-5,2.73,199,>2000,Weak
gnn_ASCAD-11,2.73,203,>2000,Weak
gnn_ASCAD-1,0.00,209,>2000,Weak
