Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-23,2.73,237,>2000,Weak
gnn_ASCAD-21,2.73,237,>2000,Weak
gnn_ASCAD-22,2.73,237,2,Weak
gnn_ASCAD-25,2.73,237,>2000,Weak
gnn_ASCAD-26,2.73,237,>2000,Weak
gnn_ASCAD-24,2.73,238,>2000,Weak
gnn_ASCAD-8,2.73,238,>2000,Weak
gnn_ASCAD-19,2.73,239,>2000,Weak
gnn_ASCAD-20,2.73,240,>2000,Weak
gnn_ASCAD-9,2.73,240,>2000,Weak
gnn_ASCAD-3,2.73,240,>2000,Weak
gnn_ASCAD-7,2.73,240,>2000,Weak
gnn_ASCAD-18,2.73,240,>2000,Weak
gnn_ASCAD-17,2.73,241,10,Weak
gnn_ASCAD-10,2.73,241,>2000,Weak
gnn_ASCAD-13,2.73,241,>2000,Weak
gnn_ASCAD-6,2.73,241,>2000,Weak
gnn_ASCAD-4,2.73,241,>2000,Weak
gnn_ASCAD-12,2.73,242,>2000,Weak
gnn_ASCAD-5,2.73,242,>2000,Weak
gnn_ASCAD-16,2.73,242,>2000,Weak
gnn_ASCAD-11,2.73,242,>2000,Weak
gnn_ASCAD-15,2.73,242,>2000,Weak
gnn_ASCAD-2,2.73,244,>2000,Weak
gnn_ASCAD-1,0.00,245,>2000,Weak
gnn_ASCAD-14,2.73,245,>2000,Weak
