Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-3,1.96,42,>2000,Weak
gnn_ASCAD-5,1.96,43,>2000,Weak
gnn_ASCAD-10,1.96,44,>2000,Weak
gnn_ASCAD-11,1.96,44,>2000,Weak
gnn_ASCAD-6,1.96,44,>2000,Weak
gnn_ASCAD-9,1.96,44,4,Weak
gnn_ASCAD-8,1.96,44,>2000,Weak
gnn_ASCAD-7,1.96,44,>2000,Weak
gnn_ASCAD-10,1.96,44,>2000,Weak
gnn_ASCAD-11,1.96,44,>2000,Weak
gnn_ASCAD-1,0.00,44,>2000,Weak
gnn_ASCAD-2,1.96,44,>2000,Weak
gnn_ASCAD-6,1.96,44,>2000,Weak
gnn_ASCAD-4,1.96,44,>2000,Weak
gnn_ASCAD-5,1.96,44,>2000,Weak
gnn_ASCAD-3,1.96,44,672,Weak
gnn_ASCAD-9,1.96,44,>2000,Weak
gnn_ASCAD-8,1.96,44,>2000,Weak
gnn_ASCAD-12,1.96,45,>2000,Weak
gnn_ASCAD-7,1.96,45,>2000,Weak
gnn_ASCAD-2,1.96,45,>2000,Weak
gnn_ASCAD-4,1.96,45,2,Weak
gnn_ASCAD-25,1.96,46,>2000,Weak
gnn_ASCAD-28,1.96,47,>2000,Weak
gnn_ASCAD-39,1.96,47,>2000,Weak
gnn_ASCAD-14,1.96,47,>2000,Weak
gnn_ASCAD-24,1.96,47,>2000,Weak
gnn_ASCAD-23,1.96,48,>2000,Weak
gnn_ASCAD-18,1.96,48,233,Weak
gnn_ASCAD-33,1.96,48,>2000,Weak
gnn_ASCAD-29,1.96,48,>2000,Weak
gnn_ASCAD-41,1.96,48,>2000,Weak
gnn_ASCAD-37,1.96,48,>2000,Weak
gnn_ASCAD-40,1.96,48,>2000,Weak
gnn_ASCAD-20,1.96,49,878,Weak
gnn_ASCAD-21,1.96,49,>2000,Weak
gnn_ASCAD-15,1.96,49,>2000,Weak
gnn_ASCAD-35,1.96,49,>2000,Weak
gnn_ASCAD-38,1.96,49,41,Weak
gnn_ASCAD-36,1.96,49,>2000,Weak
gnn_ASCAD-32,1.96,50,>2000,Weak
gnn_ASCAD-17,1.96,50,>2000,Weak
gnn_ASCAD-19,1.96,50,>2000,Weak
gnn_ASCAD-31,1.96,51,9,Weak
gnn_ASCAD-13,1.96,51,>2000,Weak
gnn_ASCAD-16,1.96,51,>2000,Weak
gnn_ASCAD-26,1.96,52,>2000,Weak
gnn_ASCAD-27,1.96,52,>2000,Weak
gnn_ASCAD-30,1.96,52,>2000,Weak
gnn_ASCAD-34,1.96,52,>2000,Weak
gnn_ASCAD-22,1.96,53,>2000,Weak
gnn_ASCAD-1,0.00,187,>2000,Weak
