Name,SizeMB,Rank,BrokenAt,Status
gnn_ASCAD-5,1.96,171,>2000,Weak
gnn_ASCAD-2,1.96,172,>2000,Weak
gnn_ASCAD-6,1.96,172,>2000,Weak
gnn_ASCAD-7,1.96,173,>2000,Weak
gnn_ASCAD-38,1.96,173,>2000,Weak
gnn_ASCAD-8,1.96,173,>2000,Weak
gnn_ASCAD-12,1.96,175,>2000,Weak
gnn_ASCAD-13,1.96,175,>2000,Weak
gnn_ASCAD-4,1.96,175,39,Weak
gnn_ASCAD-3,1.96,175,>2000,Weak
gnn_ASCAD-9,1.96,175,>2000,Weak
gnn_ASCAD-10,1.96,175,>2000,Weak
gnn_ASCAD-25,1.96,175,>2000,Weak
gnn_ASCAD-19,1.96,176,>2000,Weak
gnn_ASCAD-14,1.96,176,>2000,Weak
gnn_ASCAD-23,1.96,176,>2000,Weak
gnn_ASCAD-17,1.96,176,>2000,Weak
gnn_ASCAD-41,1.96,176,>2000,Weak
gnn_ASCAD-34,1.96,177,>2000,Weak
gnn_ASCAD-40,1.96,177,>2000,Weak
gnn_ASCAD-39,1.96,177,>2000,Weak
gnn_ASCAD-35,1.96,178,13,Weak
gnn_ASCAD-33,1.96,178,>2000,Weak
gnn_ASCAD-32,1.96,179,>2000,Weak
gnn_ASCAD-30,1.96,179,>2000,Weak
gnn_ASCAD-18,1.96,179,>2000,Weak
gnn_ASCAD-20,1.96,179,>2000,Weak
gnn_ASCAD-24,1.96,179,>2000,Weak
gnn_ASCAD-22,1.96,180,112,Weak
gnn_ASCAD-11,1.96,180,>2000,Weak
gnn_ASCAD-29,1.96,180,>2000,Weak
gnn_ASCAD-31,1.96,180,>2000,Weak
gnn_ASCAD-15,1.96,181,>2000,Weak
gnn_ASCAD-16,1.96,181,>2000,Weak
gnn_ASCAD-37,1.96,181,>2000,Weak
gnn_ASCAD-36,1.96,181,>2000,Weak
gnn_ASCAD-28,1.96,181,>2000,Weak
gnn_ASCAD-21,1.96,182,>2000,Weak
gnn_ASCAD-26,1.96,182,>2000,Weak
gnn_ASCAD-27,1.96,183,>2000,Weak
gnn_ASCAD-2,1.96,200,>2000,Weak
gnn_ASCAD-3,1.96,204,>2000,Weak
gnn_ASCAD-4,1.96,206,>2000,Weak
gnn_ASCAD-11,1.96,206,>2000,Weak
gnn_ASCAD-1,0.00,206,239,Weak
gnn_ASCAD-7,1.96,206,>2000,Weak
gnn_ASCAD-6,1.96,207,>2000,Weak
gnn_ASCAD-5,1.96,207,>2000,Weak
gnn_ASCAD-8,1.96,208,>2000,Weak
gnn_ASCAD-9,1.96,208,>2000,Weak
gnn_ASCAD-10,1.96,208,>2000,Weak
gnn_ASCAD-1,0.00,234,>2000,Weak
